Rec ID,Received Date,Location,Title,Subtitle,Edition,Year,Type,Author,Volume No(s),Sub Beg Date,Sub End Date,Vendor ID,Publisher,ISBN or MAT No,Record Comments,Qty, Price Ea , Disc Ea , S/H Ea , Total Per Book , Original Cost(Balances at 3/31) ,Delete Date,Delete Code,Qty Deleted,Vols Deleted,Last Physical Inventory Date,Return to Inventory Date,Transfer To/From Agency,Transfer Date,Delete Comments,Voucher No.,Voucher Date, Voucher Amount ,Fiscal Year,Invoice #,Invoice Date,Appropriation Code,Sub Suba,DOC,Obligation No.,PC,Voucher Comments
,9/1/1972,Administrative,SIXTH ILL CONST CONVENTION,,,,,,1 - 7,,,1808,Secretary of State,,,1, $-   ,,, $-   , $-   ,,,,,,,,,,,,,,,,,,1560,,Y,
,7/1/1975,2nd District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,3rd District,US SUPREME COURT REPORTS 2D,,,,,,004,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,5th District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1975,1st District,US SUPREME COURT REPORTS 2D,,,,,,044,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $18.50 , $-   , $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1976,,,,,0,,Y,
,7/1/1976,1st District,S-H STAT,,,,,,Ch 110A,,,1011,West,,SEC 321-500 AND 501-END (3 SETS),1, $144.00 , $-   , $5.00 , $139.00 , $139.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,7/7/1976,2nd District,NE,,,,,,342 - 355,,,1011,West,,4TH DIST. SENT TO SURPLUS 05/05,14, $16.00 , $-   , $-   , $16.00 , $224.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,7/7/1976,5th District,NE,,,,,,342-355,,,1011,West,,,14, $16.00 ,,, $16.00 , $224.00 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,2nd District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,3rd District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,5th District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,,1, $18.50 ,, $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
,8/1/1976,1st District,US SUPREME COURT REPORTS 2D,,,,,,045,,,1790,Lawyers Co-Op,,ADM & SPI SENT TO SURPLUS 05/05,1, $18.50 , $-   , $1.05 , $19.55 , $19.55 ,,,,,,,,,,,,,1977,,,,,0,,Y,
